movie_name,recommend_movie
Superman Returns,"
Recommended Movies: 
Man of Steel | Genres: Action,Adventure,Fantasy,ScienceFiction | Rating: 6.5
Superman II | Genres: Action,Adventure,Fantasy,ScienceFiction | Rating: 6.5
Superman | Genres: Action,Adventure,Fantasy,ScienceFiction | Rating: 6.9
Superman III | Genres: Action,Adventure,Comedy,Fantasy,ScienceFiction | Rating: 5.3
Jupiter Ascending | Genres: Action,Adventure,Fantasy,ScienceFiction | Rating: 5.2
The Wolverine | Genres: Action,Adventure,Fantasy,ScienceFiction | Rating: 6.3
X-Men: Days of Future Past | Genres: Action,Adventure,Fantasy,ScienceFiction | Rating: 7.5
Beastmaster 2: Through the Portal of Time | Genres: Action,Adventure,Fantasy,ScienceFiction | Rating: 4.6
Batman v Superman: Dawn of Justice | Genres: Action,Adventure,Fantasy | Rating: 5.7
The Mummy: Tomb of the Dragon Emperor | Genres: Action,Adventure,Fantasy | Rating: 5.2
"
Quantum of Solace,"
Recommended Movies: 
The Jackal | Genres: Action,Adventure,Crime,Thriller | Rating: 6.1
Changing Lanes | Genres: Action,Adventure,Crime,Thriller | Rating: 5.9
16 Blocks | Genres: Action,Adventure,Crime,Thriller | Rating: 6.2
Into the Blue | Genres: Action,Adventure,Crime,Thriller | Rating: 5.8
Cellular | Genres: Action,Adventure,Crime,Thriller | Rating: 6.1
Killer Elite | Genres: Action,Adventure,Thriller | Rating: 6.1
Bullet to the Head | Genres: Action,Crime,Thriller | Rating: 5.2
Safe | Genres: Action,Crime,Thriller | Rating: 6.3
Ong Bak 2 | Genres: Action,Adventure,Thriller | Rating: 6.0
The Pursuit of D.B. Cooper | Genres: Adventure,Crime,Thriller | Rating: 6.8
"
Pirates of the Caribbean: Dead Man's Chest,"
Recommended Movies: 
The Mummy: Tomb of the Dragon Emperor | Genres: Action,Adventure,Fantasy | Rating: 5.2
西游记之孙悟空三打白骨精 | Genres: Action,Adventure,Fantasy | Rating: 6.0
The Last Witch Hunter | Genres: Action,Adventure,Fantasy | Rating: 5.7
The Scorpion King | Genres: Action,Adventure,Fantasy | Rating: 5.3
The Mummy Returns | Genres: Action,Adventure,Fantasy | Rating: 6.0
Pirates of the Caribbean: At World's End | Genres: Action,Adventure,Fantasy | Rating: 6.9
Dungeons & Dragons: Wrath of the Dragon God | Genres: Action,Adventure,Fantasy | Rating: 4.8
Conan the Barbarian | Genres: Action,Adventure,Fantasy | Rating: 6.6
Red Sonja | Genres: Action,Adventure,Fantasy | Rating: 5.0
Pirates of the Caribbean: On Stranger Tides | Genres: Action,Adventure,Fantasy | Rating: 6.4
"
The Lone Ranger,"
Recommended Movies: 
Blackthorn | Genres: Action,Adventure,Western | Rating: 6.6
The Legend of the Lone Ranger | Genres: Action,Adventure,Romance,Western | Rating: 3.7
Hidalgo | Genres: Adventure,Western | Rating: 6.5
American Outlaws | Genres: Action,Western | Rating: 5.7
The Legend of Hell's Gate: An American Conspiracy | Genres: Action,Adventure,History,Western | Rating: 3.9
Cotton Comes to Harlem | Genres: Action,Adventure | Rating: 6.7
좋은 놈, 나쁜 놈, 이상한 놈 | Genres: Action,Adventure,Comedy,Western | Rating: 7.1
Texas Rangers | Genres: Action,Western | Rating: 5.4
Falcon Rising | Genres: Action,Adventure | Rating: 5.5
The Mummy: Tomb of the Dragon Emperor | Genres: Action,Adventure,Fantasy | Rating: 5.2
"
Man of Steel,"
Recommended Movies: 
Superman Returns | Genres: Action,Adventure,Fantasy,ScienceFiction | Rating: 5.4
The Wolverine | Genres: Action,Adventure,Fantasy,ScienceFiction | Rating: 6.3
Superman II | Genres: Action,Adventure,Fantasy,ScienceFiction | Rating: 6.5
Jupiter Ascending | Genres: Action,Adventure,Fantasy,ScienceFiction | Rating: 5.2
Batman v Superman: Dawn of Justice | Genres: Action,Adventure,Fantasy | Rating: 5.7
X-Men | Genres: Action,Adventure,ScienceFiction | Rating: 6.8
X-Men: Days of Future Past | Genres: Action,Adventure,Fantasy,ScienceFiction | Rating: 7.5
Independence Day: Resurgence | Genres: Action,Adventure,ScienceFiction | Rating: 4.9
Superman | Genres: Action,Adventure,Fantasy,ScienceFiction | Rating: 6.9
The Mummy: Tomb of the Dragon Emperor | Genres: Action,Adventure,Fantasy | Rating: 5.2
"
The Chronicles of Narnia: Prince Caspian,"
Recommended Movies: 
Alice in Wonderland | Genres: Adventure,Family,Fantasy | Rating: 6.4
Return to Oz | Genres: Adventure,Family,Fantasy | Rating: 6.7
The Chronicles of Narnia: The Voyage of the Dawn Treader | Genres: Adventure,Family,Fantasy | Rating: 6.2
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe | Genres: Adventure,Family,Fantasy | Rating: 6.7
The Adventurer: The Curse of the Midas Box | Genres: Adventure,Family,Fantasy | Rating: 5.1
Pan | Genres: Adventure,Family,Fantasy | Rating: 5.9
Inkheart | Genres: Adventure,Family,Fantasy | Rating: 6.0
The Indian in the Cupboard | Genres: Adventure,Family,Fantasy | Rating: 5.9
Percy Jackson & the Olympians: The Lightning Thief | Genres: Adventure,Family,Fantasy | Rating: 6.0
Pete's Dragon | Genres: Adventure,Family,Fantasy | Rating: 6.2
"
The Avengers,"
Recommended Movies: 
Ant-Man | Genres: Action,Adventure,ScienceFiction | Rating: 7.0
Avengers: Age of Ultron | Genres: Action,Adventure,ScienceFiction | Rating: 7.3
Iron Man 2 | Genres: Action,Adventure,ScienceFiction | Rating: 6.6
Captain America: The Winter Soldier | Genres: Action,Adventure,ScienceFiction | Rating: 7.6
Captain America: Civil War | Genres: Action,Adventure,ScienceFiction | Rating: 7.1
X-Men | Genres: Action,Adventure,ScienceFiction | Rating: 6.8
Independence Day: Resurgence | Genres: Action,Adventure,ScienceFiction | Rating: 4.9
Guardians of the Galaxy | Genres: Action,Adventure,ScienceFiction | Rating: 7.9
After Earth | Genres: Action,Adventure,ScienceFiction | Rating: 5.0
Six-String Samurai | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
"
Pirates of the Caribbean: On Stranger Tides,"
Recommended Movies: 
The Mummy: Tomb of the Dragon Emperor | Genres: Action,Adventure,Fantasy | Rating: 5.2
西游记之孙悟空三打白骨精 | Genres: Action,Adventure,Fantasy | Rating: 6.0
The Scorpion King | Genres: Action,Adventure,Fantasy | Rating: 5.3
The Mummy Returns | Genres: Action,Adventure,Fantasy | Rating: 6.0
Pirates of the Caribbean: Dead Man's Chest | Genres: Action,Adventure,Fantasy | Rating: 7.0
The Last Witch Hunter | Genres: Action,Adventure,Fantasy | Rating: 5.7
Highlander | Genres: Action,Adventure,Fantasy | Rating: 6.8
Dungeons & Dragons: Wrath of the Dragon God | Genres: Action,Adventure,Fantasy | Rating: 4.8
Conan the Barbarian | Genres: Action,Adventure,Fantasy | Rating: 6.6
Thor: The Dark World | Genres: Action,Adventure,Fantasy | Rating: 6.8
"
Men in Black 3,"
Recommended Movies: 
The Helix... Loaded | Genres: Action,Comedy,ScienceFiction | Rating: 4.8
American Hero | Genres: Action,Comedy,ScienceFiction | Rating: 5.0
The Stepford Wives | Genres: Action,Comedy,ScienceFiction | Rating: 5.4
Death Race 2000 | Genres: Action,Comedy,ScienceFiction | Rating: 5.9
The World's End | Genres: Action,Comedy,ScienceFiction | Rating: 6.7
The Ice Pirates | Genres: Action,Comedy,ScienceFiction | Rating: 5.7
Pixels | Genres: Action,Comedy,ScienceFiction | Rating: 5.6
Superhero Movie | Genres: Action,Comedy,ScienceFiction | Rating: 4.9
The Adventures of Pluto Nash | Genres: Action,Comedy,ScienceFiction | Rating: 4.4
Man of the House | Genres: Action,Comedy | Rating: 5.4
"
The Hobbit: The Battle of the Five Armies,"
Recommended Movies: 
The Hobbit: The Desolation of Smaug | Genres: Adventure,Fantasy | Rating: 7.6
The Mummy: Tomb of the Dragon Emperor | Genres: Action,Adventure,Fantasy | Rating: 5.2
西游记之孙悟空三打白骨精 | Genres: Action,Adventure,Fantasy | Rating: 6.0
The Scorpion King | Genres: Action,Adventure,Fantasy | Rating: 5.3
Dungeons & Dragons: Wrath of the Dragon God | Genres: Action,Adventure,Fantasy | Rating: 4.8
The Mummy Returns | Genres: Action,Adventure,Fantasy | Rating: 6.0
Conan the Barbarian | Genres: Action,Adventure,Fantasy | Rating: 6.6
The Lord of the Rings: The Fellowship of the Ring | Genres: Action,Adventure,Fantasy | Rating: 8.0
The Last Witch Hunter | Genres: Action,Adventure,Fantasy | Rating: 5.7
The Lord of the Rings: The Two Towers | Genres: Action,Adventure,Fantasy | Rating: 8.0
"
The Amazing Spider-Man,"
Recommended Movies: 
The Mummy: Tomb of the Dragon Emperor | Genres: Action,Adventure,Fantasy | Rating: 5.2
西游记之孙悟空三打白骨精 | Genres: Action,Adventure,Fantasy | Rating: 6.0
The Scorpion King | Genres: Action,Adventure,Fantasy | Rating: 5.3
The Mummy Returns | Genres: Action,Adventure,Fantasy | Rating: 6.0
The Amazing Spider-Man 2 | Genres: Action,Adventure,Fantasy | Rating: 6.5
The Last Witch Hunter | Genres: Action,Adventure,Fantasy | Rating: 5.7
Dungeons & Dragons: Wrath of the Dragon God | Genres: Action,Adventure,Fantasy | Rating: 4.8
Batman v Superman: Dawn of Justice | Genres: Action,Adventure,Fantasy | Rating: 5.7
Conan the Barbarian | Genres: Action,Adventure,Fantasy | Rating: 6.6
Red Sonja | Genres: Action,Adventure,Fantasy | Rating: 5.0
"
Robin Hood,"
Recommended Movies: 
Cotton Comes to Harlem | Genres: Action,Adventure | Rating: 6.7
Falcon Rising | Genres: Action,Adventure | Rating: 5.5
The Legend of Tarzan | Genres: Action,Adventure | Rating: 5.5
Waterworld | Genres: Action,Adventure | Rating: 5.9
Hercules | Genres: Action,Adventure | Rating: 5.6
Cutthroat Island | Genres: Action,Adventure | Rating: 5.7
The Legend of Hercules | Genres: Action,Adventure | Rating: 4.4
The Mask of Zorro | Genres: Action,Adventure | Rating: 6.3
The Mummy: Tomb of the Dragon Emperor | Genres: Action,Adventure,Fantasy | Rating: 5.2
After Earth | Genres: Action,Adventure,ScienceFiction | Rating: 5.0
"
The Hobbit: The Desolation of Smaug,"
Recommended Movies: 
The Barbarians | Genres: Adventure,Fantasy | Rating: 5.1
The Hobbit: The Battle of the Five Armies | Genres: Action,Adventure,Fantasy | Rating: 7.1
Seventh Son | Genres: Adventure,Fantasy | Rating: 5.2
The Mummy: Tomb of the Dragon Emperor | Genres: Action,Adventure,Fantasy | Rating: 5.2
西游记之孙悟空三打白骨精 | Genres: Action,Adventure,Fantasy | Rating: 6.0
Return to Oz | Genres: Adventure,Family,Fantasy | Rating: 6.7
Shanghai Surprise | Genres: Adventure | Rating: 2.9
The Secret Life of Bees | Genres: Adventure | Rating: 7.4
The Golden Compass | Genres: Adventure,Fantasy | Rating: 5.8
The Scorpion King | Genres: Action,Adventure,Fantasy | Rating: 5.3
"
The Golden Compass,"
Recommended Movies: 
The Barbarians | Genres: Adventure,Fantasy | Rating: 5.1
Seventh Son | Genres: Adventure,Fantasy | Rating: 5.2
The Hobbit: The Desolation of Smaug | Genres: Adventure,Fantasy | Rating: 7.6
The Mummy: Tomb of the Dragon Emperor | Genres: Action,Adventure,Fantasy | Rating: 5.2
西游记之孙悟空三打白骨精 | Genres: Action,Adventure,Fantasy | Rating: 6.0
Return to Oz | Genres: Adventure,Family,Fantasy | Rating: 6.7
Shanghai Surprise | Genres: Adventure | Rating: 2.9
The Secret Life of Bees | Genres: Adventure | Rating: 7.4
The Scorpion King | Genres: Action,Adventure,Fantasy | Rating: 5.3
The Beastmaster | Genres: Action,Fantasy | Rating: 6.0
"
King Kong,"
Recommended Movies: 
天將雄師 | Genres: Action,Adventure,Drama | Rating: 5.9
Rockaway | Genres: Action,Adventure,Drama | Rating: 5.8
Highway | Genres: Action,Adventure,Drama | Rating: 5.6
Mercy Streets | Genres: Action,Adventure,Drama | Rating: 5.5
Madison | Genres: Action,Adventure,Drama | Rating: 5.3
American Ninja 2: The Confrontation | Genres: Action,Adventure,Drama | Rating: 4.9
The Man in the Iron Mask | Genres: Action,Adventure,Drama | Rating: 6.3
Crossover | Genres: Action,Adventure,Drama | Rating: 4.2
Exodus: Gods and Kings | Genres: Action,Adventure,Drama | Rating: 5.6
The Huntsman: Winter's War | Genres: Action,Adventure,Drama | Rating: 6.0
"
Titanic,"
Recommended Movies: 
Angel Eyes | Genres: Drama,Romance,Thriller | Rating: 5.6
Fifty Shades of Grey | Genres: Drama,Romance,Thriller | Rating: 5.2
Die Büchse der Pandora | Genres: Drama,Romance,Thriller | Rating: 7.6
Fatal Attraction | Genres: Drama,Romance,Thriller | Rating: 6.6
O | Genres: Drama,Romance,Thriller | Rating: 5.8
Beloved | Genres: Drama,Thriller | Rating: 5.9
Step Up 3D | Genres: Drama,Romance | Rating: 6.6
The Statement | Genres: Drama,Thriller | Rating: 5.9
The Best of Me | Genres: Drama,Romance | Rating: 7.2
The Face of an Angel | Genres: Drama,Thriller | Rating: 4.7
"
Captain America: Civil War,"
Recommended Movies: 
Ant-Man | Genres: Action,Adventure,ScienceFiction | Rating: 7.0
Avengers: Age of Ultron | Genres: Action,Adventure,ScienceFiction | Rating: 7.3
Iron Man 2 | Genres: Action,Adventure,ScienceFiction | Rating: 6.6
The Avengers | Genres: Action,Adventure,ScienceFiction | Rating: 7.4
Captain America: The Winter Soldier | Genres: Action,Adventure,ScienceFiction | Rating: 7.6
X-Men | Genres: Action,Adventure,ScienceFiction | Rating: 6.8
Pacific Rim | Genres: Action,Adventure,ScienceFiction | Rating: 6.7
Guardians of the Galaxy | Genres: Action,Adventure,ScienceFiction | Rating: 7.9
After Earth | Genres: Action,Adventure,ScienceFiction | Rating: 5.0
Journey 2: The Mysterious Island | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
"
Battleship,"
Recommended Movies: 
Star Trek III: The Search for Spock | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.4
The Core | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 5.4
A Sound of Thunder | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 4.8
Star Trek: Insurrection | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.3
Street Fighter: The Legend of Chun-Li | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 3.9
X-Men: The Last Stand | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.3
X2 | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.8
Star Trek: Generations | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.4
X-Men Origins: Wolverine | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.2
Firefox | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 5.5
"
Jurassic World,"
Recommended Movies: 
Jurassic Park III | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 5.7
Star Trek III: The Search for Spock | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.4
A Sound of Thunder | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 4.8
The Core | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 5.4
Star Trek: Insurrection | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.3
Street Fighter: The Legend of Chun-Li | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 3.9
Firefox | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 5.5
X2 | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.8
Star Trek: Generations | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.4
Predator | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 7.3
"
Skyfall,"
Recommended Movies: 
Killer Elite | Genres: Action,Adventure,Thriller | Rating: 6.1
Ong Bak 2 | Genres: Action,Adventure,Thriller | Rating: 6.0
Die Another Day | Genres: Action,Adventure,Thriller | Rating: 5.8
Knock Off | Genres: Action,Adventure,Thriller | Rating: 4.7
The World Is Not Enough | Genres: Action,Adventure,Thriller | Rating: 6.0
Ballistic: Ecks vs. Sever | Genres: Action,Adventure,Thriller | Rating: 4.3
Space Cowboys | Genres: Action,Adventure,Thriller | Rating: 6.3
Never Say Never Again | Genres: Action,Adventure,Thriller | Rating: 5.8
Maximum Risk | Genres: Action,Adventure,Thriller | Rating: 5.2
Chain of Command | Genres: Action,Adventure,Thriller | Rating: 5.3
"
Spider-Man 2,"
Recommended Movies: 
The Mummy: Tomb of the Dragon Emperor | Genres: Action,Adventure,Fantasy | Rating: 5.2
西游记之孙悟空三打白骨精 | Genres: Action,Adventure,Fantasy | Rating: 6.0
The Scorpion King | Genres: Action,Adventure,Fantasy | Rating: 5.3
The Mummy Returns | Genres: Action,Adventure,Fantasy | Rating: 6.0
The Amazing Spider-Man 2 | Genres: Action,Adventure,Fantasy | Rating: 6.5
The Last Witch Hunter | Genres: Action,Adventure,Fantasy | Rating: 5.7
Dungeons & Dragons: Wrath of the Dragon God | Genres: Action,Adventure,Fantasy | Rating: 4.8
Conan the Barbarian | Genres: Action,Adventure,Fantasy | Rating: 6.6
Red Sonja | Genres: Action,Adventure,Fantasy | Rating: 5.0
Spider-Man 3 | Genres: Action,Adventure,Fantasy | Rating: 5.9
"
Iron Man 3,"
Recommended Movies: 
Iron Man 2 | Genres: Action,Adventure,ScienceFiction | Rating: 6.6
Ant-Man | Genres: Action,Adventure,ScienceFiction | Rating: 7.0
Iron Man | Genres: Action,Adventure,ScienceFiction | Rating: 7.4
Avengers: Age of Ultron | Genres: Action,Adventure,ScienceFiction | Rating: 7.3
Captain America: Civil War | Genres: Action,Adventure,ScienceFiction | Rating: 7.1
X-Men | Genres: Action,Adventure,ScienceFiction | Rating: 6.8
The Avengers | Genres: Action,Adventure,ScienceFiction | Rating: 7.4
Captain America: The Winter Soldier | Genres: Action,Adventure,ScienceFiction | Rating: 7.6
After Earth | Genres: Action,Adventure,ScienceFiction | Rating: 5.0
Six-String Samurai | Genres: Action,Adventure,ScienceFiction | Rating: 5.8
"
Alice in Wonderland,"
Recommended Movies: 
Return to Oz | Genres: Adventure,Family,Fantasy | Rating: 6.7
The Adventurer: The Curse of the Midas Box | Genres: Adventure,Family,Fantasy | Rating: 5.1
The Chronicles of Narnia: The Voyage of the Dawn Treader | Genres: Adventure,Family,Fantasy | Rating: 6.2
Pan | Genres: Adventure,Family,Fantasy | Rating: 5.9
The BFG | Genres: Adventure,Family,Fantasy | Rating: 6.0
Inkheart | Genres: Adventure,Family,Fantasy | Rating: 6.0
The Indian in the Cupboard | Genres: Adventure,Family,Fantasy | Rating: 5.9
The Chronicles of Narnia: Prince Caspian | Genres: Adventure,Family,Fantasy | Rating: 6.3
Percy Jackson & the Olympians: The Lightning Thief | Genres: Adventure,Family,Fantasy | Rating: 6.0
Pete's Dragon | Genres: Adventure,Family,Fantasy | Rating: 6.2
"
X-Men: The Last Stand,"
Recommended Movies: 
X2 | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.8
Star Trek III: The Search for Spock | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.4
X-Men Origins: Wolverine | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.2
X-Men | Genres: Action,Adventure,ScienceFiction | Rating: 6.8
The Core | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 5.4
A Sound of Thunder | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 4.8
Star Trek: Insurrection | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.3
Street Fighter: The Legend of Chun-Li | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 3.9
Star Trek: Generations | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 6.4
Firefox | Genres: Action,Adventure,ScienceFiction,Thriller | Rating: 5.5
"
